csvRow,songId,title,column,line,issue,excerpt
3,2021-04-1709:38:49.060529,అడగక ముందే,BOTH,,repeat_marker_count_mismatch,Telugu=2; English=3
40,2021-04-1709:38:52.036014,అంకితం ప్రభూ నా జీవితం,BOTH,,repeat_marker_count_mismatch,Telugu=2; English=3
162,2021-04-1709:39:02.495911,ఈ జీవితం విలువైనది,BOTH,,repeat_marker_count_mismatch,Telugu=7; English=4
175,2021-04-1709:39:04.413886,ఉన్నత స్థలములలో,BOTH,,repeat_marker_count_mismatch,Telugu=3; English=4
336,2021-04-1709:39:27.544335,క్రిస్మస్ శుభదినం,BOTH,,repeat_marker_count_mismatch,Telugu=3; English=4
415,2021-04-1709:39:39.280533,చిరుగాలి వీచినా,BOTH,,repeat_marker_count_mismatch,Telugu=2; English=3
453,2021-04-1709:39:44.607403,జీవము గల దేవుని సంఘం,BOTH,,repeat_marker_count_mismatch,Telugu=5; English=4
530,2021-04-1709:39:55.428425,దేవుడు దేహమును,BOTH,,repeat_marker_count_mismatch,Telugu=2; English=3
533,2021-04-1709:39:55.909653,దేవుడు లోకమును,BOTH,,repeat_marker_count_mismatch,Telugu=0; English=3
536,2021-04-1709:39:56.364674,దేవుని గొప్ప మహిమను,BOTH,,repeat_marker_count_mismatch,Telugu=0; English=2
616,2021-04-1709:40:07.269855,నా పేరే తెలియని ప్రజలు,BOTH,,repeat_marker_count_mismatch,Telugu=3; English=4
625,2021-04-1709:40:08.306217,నా ప్రాణమైన యేసు,BOTH,,repeat_marker_count_mismatch,Telugu=3; English=2
693,2021-04-1709:40:17.581989,నిరతము స్తుతియించుము,BOTH,,repeat_marker_count_mismatch,Telugu=3; English=2
698,2021-04-1709:40:18.309422,నీ కార్యములు,BOTH,,repeat_marker_count_mismatch,Telugu=1; English=2
704,2021-04-1709:40:18.972311,నీ కృప లేని క్షణము,BOTH,,repeat_marker_count_mismatch,Telugu=2; English=3
713,2021-04-1709:44:55.063199,నీ చేతితో నన్ను పట్టుకో,BOTH,,repeat_marker_count_mismatch,Telugu=1; English=0
741,2021-04-1709:44:57.471152,నీ ప్రేమా నీ కరుణా,BOTH,,repeat_marker_count_mismatch,Telugu=3; English=4
773,2021-04-1709:44:59.033804,నీతోనే గడిపేయాలని,BOTH,,repeat_marker_count_mismatch,Telugu=1; English=2
795,2021-04-1709:44:59.996659,నీవుంటే నాకు చాలు యేసయ్యా,BOTH,,repeat_marker_count_mismatch,Telugu=5; English=4
863,2021-04-1709:45:06.995778,ప్రభు యేసు నా రక్షకా,BOTH,,repeat_marker_count_mismatch,Telugu=7; English=8
872,2021-04-1709:45:08.238763,ప్రభువా నిను కీర్తించుటకు,BOTH,,repeat_marker_count_mismatch,Telugu=3; English=2
1020,2021-04-1709:45:31.146352,మూడునాళ్ళ ముచ్చట కోసం,BOTH,,repeat_marker_count_mismatch,Telugu=3; English=14
1042,2021-04-1709:45:34.498182,యెహోవా నా కాపరి,BOTH,,repeat_marker_count_mismatch,Telugu=5; English=1
1049,2021-04-1709:45:35.388070,యెహోవా మా కాపరి,BOTH,,repeat_marker_count_mismatch,Telugu=3; English=4
1163,2021-04-1709:45:51.047859,రుచి చూచి ఎరిగితిని,BOTH,,repeat_marker_count_mismatch,Telugu=6; English=5
1174,2021-04-1709:45:52.436042,లోకమంతట వెలుగు,BOTH,,repeat_marker_count_mismatch,Telugu=0; English=5
1192,2021-04-1709:45:55.323473,వికసించు పుష్పమా,BOTH,,repeat_marker_count_mismatch,Telugu=7; English=4
1215,2021-04-1709:45:58.651048,వీనులకు విందులు చేసే,BOTH,,repeat_marker_count_mismatch,Telugu=8; English=4
1257,2021-04-1709:46:05.128882,సర్వకృపానిధియగు ప్రభువా,BOTH,,repeat_marker_count_mismatch,Telugu=5; English=6
1351,2021-04-1709:46:18.279865,హల్లెలూయ స్తుతి మహిమ,BOTH,,repeat_marker_count_mismatch,Telugu=2; English=1
