decision,source_id,title,language,start_line,end_line,repeat_count,confidence,reason,source_sha256,original_block,proposed_structured_block
pending,2021-04-1709:39:00.056196,ఆశీర్వాదం,telugu,1,14,4,0.99,"2 adjacent copies of a 7-line group, each marked ×2",62ffbe8afe3466964689db00fba3007573d53b3bce916410cfb8689b7fb9d504,"యెహోవా దీవించి – కాపాడును గాక
తన సన్నిధి కాంతితో
నిను కరుణించును గాక
నీ వైపు తన ముఖమును చూపి
శాంతినిచ్చును గాక ×2
ఆ.. ఆ.. ఆ.. ఆమెన్ ఆమెన్ ఆ.. ఆమెన్
ఆ.. ఆ.. ఆ.. ఆమెన్ ఆమెన్ ఆ.. ఆమెన్
యెహోవా దీవించి – కాపాడును గాక
తన సన్నిధి కాంతితో
నిను కరుణించును గాక
నీ వైపు తన ముఖమును చూపి
శాంతినిచ్చును గాక
ఆ.. ఆ.. ఆ.. ఆమెన్ ఆమెన్ ఆ.. ఆమెన్
ఆ.. ఆ.. ఆ.. ఆమెన్ ఆమెన్ ఆ.. ఆమెన్ ×2","[Repeat ×4]
యెహోవా దీవించి – కాపాడును గాక
తన సన్నిధి కాంతితో
నిను కరుణించును గాక
నీ వైపు తన ముఖమును చూపి
శాంతినిచ్చును గాక
ఆ.. ఆ.. ఆ.. ఆమెన్ ఆమెన్ ఆ.. ఆమెన్
ఆ.. ఆ.. ఆ.. ఆమెన్ ఆమెన్ ఆ.. ఆమెన్
[/Repeat]"
pending,2021-04-1709:39:00.056196,Aasheervaadam.,english,1,14,4,0.99,"2 adjacent copies of a 7-line group, each marked ×2",7721800ece7538582c8ed92df28bf84f668d759914b1c4c54d0cda492e4bcdf5,"Yehovaa Deevinchi – Kaapadunu Gaaka
Thana Sannidhi Kaanthitho
Ninu Karuninchunu Gaaka
Nee Vaipu Thana Mukhamunu Choopi
Shaanthinichchunu Gaaka ×2
Aa.. Aa.. Aa.. Aamen Aamen Aa.. Aamen
Aa.. Aa.. Aa.. Aamen Aamen Aa.. Aamen
Yehovaa Deevinchi – Kaapadunu Gaaka
Thana Sannidhi Kaanthitho
Ninu Karuninchunu Gaaka
Nee Vaipu Thana Mukhamunu Choopi
Shaanthinichchunu Gaaka
Aa.. Aa.. Aa.. Aamen Aamen Aa.. Aamen
Aa.. Aa.. Aa.. Aamen Aamen Aa.. Aamen ×2","[Repeat ×4]
Yehovaa Deevinchi – Kaapadunu Gaaka
Thana Sannidhi Kaanthitho
Ninu Karuninchunu Gaaka
Nee Vaipu Thana Mukhamunu Choopi
Shaanthinichchunu Gaaka
Aa.. Aa.. Aa.. Aamen Aamen Aa.. Aamen
Aa.. Aa.. Aa.. Aamen Aamen Aa.. Aamen
[/Repeat]"
pending,2021-04-1709:39:21.690372,కమనీయమైన,telugu,1,4,2,0.97,2 adjacent copies of a 2-line group,92c96687b0e5b62a5b9dd5905dfa033d123b13ae764ec03e61150c9c70dc74e5,"కమనీయమైన నీ ప్రేమలోన
నే నిలువనా నా యేసయ్యా
కమనీయమైన నీ ప్రేమలోన
నే నిలువనా నా యేసయ్యా","[Repeat ×2]
కమనీయమైన నీ ప్రేమలోన
నే నిలువనా నా యేసయ్యా
[/Repeat]"
pending,2021-04-1709:39:21.690372,Kamaneeyamaina.,english,1,4,2,0.97,2 adjacent copies of a 2-line group,27cc9baa8d5a878f19ad24d9fecee4bbffd9d17a132c2b820d55846575598430,"Kamaneeyamaina Nee Premalona
Ne Niluvanaa Naa Yesayyaa
Kamaneeyamaina Nee Premalona
Ne Niluvanaa Naa Yesayyaa","[Repeat ×2]
Kamaneeyamaina Nee Premalona
Ne Niluvanaa Naa Yesayyaa
[/Repeat]"
pending,2021-04-1709:40:14.597610,నిత్య ప్రేమతో,telugu,19,24,4,0.99,"2 adjacent copies of a 3-line group, each marked ×2",fc4b896e9dab26da3bc902d886bef1754394d0af219ea073dacda4cee33f9782,"నిత్య ప్రేమతో – నన్ను ప్రేమించెన్ ×2
తల్లి ప్రేమను మించినదే
లోక ప్రేమను మించినదే
నిత్య ప్రేమతో – నన్ను ప్రేమించెన్ ×2
తల్లి ప్రేమను మించినదే
లోక ప్రేమను మించినదే","[Repeat ×4]
నిత్య ప్రేమతో – నన్ను ప్రేమించెన్
తల్లి ప్రేమను మించినదే
లోక ప్రేమను మించినదే
[/Repeat]"
pending,2021-04-1709:40:14.597610,Nithya Prematho.,english,19,24,4,0.99,"2 adjacent copies of a 3-line group, each marked ×2",0ec0c48ea64b1ad7e50bf4457f384210ebf070d8fc366c5b45c25c239e54da73,"Nithya Prematho – Nannu Preminchen ×2
Thalli Premanu Minchinade
Loka Premanu Minchinade
Nithya Prematho – Nannu Preminchen ×2
Thalli Premanu Minchinade
Loka Premanu Minchinade","[Repeat ×4]
Nithya Prematho – Nannu Preminchen
Thalli Premanu Minchinade
Loka Premanu Minchinade
[/Repeat]"
pending,2021-04-1709:40:19.142724,నీ కృప లేనిచో,telugu,1,4,4,0.99,"2 adjacent copies of a 2-line group, each marked ×2",b19fe1f4fd3eb4a8c32bb43a3665deac9755f8ce93d2d178a50d2072a6c2555b,"నీ కృప లేనిచో ఒక క్షణమైననూ
నే నిలువజాలనో ప్రభు ×2
నీ కృప లేనిచో ఒక క్షణమైననూ
నే నిలువజాలనో ప్రభు ×2","[Repeat ×4]
నీ కృప లేనిచో ఒక క్షణమైననూ
నే నిలువజాలనో ప్రభు
[/Repeat]"
pending,2021-04-1709:40:19.142724,Nee Krupa Lenicho.,english,1,4,4,0.99,"2 adjacent copies of a 2-line group, each marked ×2",b5884ec384f205ad8ea569c7ea3925ad31bbdb30f4acbb1b0e9ff546b17a76c7,"Nee Krupa Lenicho Oka Kshanamainanu
Ne Niluvajaalano Prabhu ×2
Nee Krupa Lenicho Oka Kshanamainanu
Ne Niluvajaalano Prabhu ×2","[Repeat ×4]
Nee Krupa Lenicho Oka Kshanamainanu
Ne Niluvajaalano Prabhu
[/Repeat]"
pending,2021-04-1709:45:02.441705,నేనున్నా నేనున్నా,telugu,46,49,4,0.99,"2 adjacent copies of a 2-line group, each marked ×2",97575d1aad463d1983d0e36755a8d360e5194e1c863e26004e254757ddeaae10,"యీల్డ్ యువర్ బాడీస్ అంటు ద లార్డ్
యాస్ ఇన్స్ట్రుమెంట్స్ ఆఫ్ రైటియస్నెస్ ×2
యీల్డ్ యువర్ బాడీస్ అంటు ద లార్డ్
యాస్ ఇన్స్ట్రుమెంట్స్ ఆఫ్ రైటియస్నెస్ ×2","[Repeat ×4]
యీల్డ్ యువర్ బాడీస్ అంటు ద లార్డ్
యాస్ ఇన్స్ట్రుమెంట్స్ ఆఫ్ రైటియస్నెస్
[/Repeat]"
pending,2021-04-1709:45:29.393960,మారా గయా సులీ పర్,telugu,1,6,4,0.99,"2 adjacent copies of a 3-line group, each marked ×2",f2e84909b4afe4add07ae626caa99881e9120c25628a5439d3ec6b952f8fdaba,"మారా గయా సులీ పర్
మేరా యీషు మసీహ్ ×2
మేరా యీషు మసీహ్ ×2
మారా గయా సులీ పర్
మేరా యీషు మసీహ్ ×2
మేరా యీషు మసీహ్","[Repeat ×4]
మారా గయా సులీ పర్
మేరా యీషు మసీహ్
మేరా యీషు మసీహ్
[/Repeat]"
